12:47:15.507 [main] INFO  c.s.m.SpringWithMongoDbApplication - Starting SpringWithMongoDbApplication using Java 23.0.2 with PID 3508 (C:\SHUBHAM\SpringandSpringboot\Springboot\mongoDB\target\classes started by Admin in C:\SHUBHAM\SpringandSpringboot\Springboot\mongoDB)
12:47:15.511 [main] INFO  c.s.m.SpringWithMongoDbApplication - No active profile set, falling back to 1 default profile: "default"
12:47:16.311 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
12:47:16.368 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 51 ms. Found 2 MongoDB repository interfaces.
12:47:16.923 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
12:47:16.933 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
12:47:16.936 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
12:47:16.936 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
12:47:16.983 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12:47:16.984 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1388 ms
12:47:17.263 [cluster-ClusterId{value='687751fdc5336d8370cb7a73', description='springTest'}-srv-springtest.fosgxpw.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-etoaa3e-shard-00-01.fosgxpw.mongodb.net:27017 to client view of cluster
12:47:17.295 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "springTest"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/23.0.2+7-58"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='Shubham_L', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3249e278, com.mongodb.Jep395RecordCodecProvider@35adf623, com.mongodb.KotlinCodecProvider@456f7d9e]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=springtest.fosgxpw.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-y6vsmj-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='springTest', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
12:47:17.301 [cluster-ClusterId{value='687751fdc5336d8370cb7a73', description='springTest'}-srv-springtest.fosgxpw.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-etoaa3e-shard-00-00.fosgxpw.mongodb.net:27017 to client view of cluster
12:47:17.304 [cluster-ClusterId{value='687751fdc5336d8370cb7a73', description='springTest'}-srv-springtest.fosgxpw.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-etoaa3e-shard-00-02.fosgxpw.mongodb.net:27017 to client view of cluster
12:47:17.629 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29994 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-etoaa3e-shard-00-01.fosgxpw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-etoaa3e-shard-00-02.fosgxpw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-etoaa3e-shard-00-00.fosgxpw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
12:47:17.772 [cluster-ClusterId{value='687751fdc5336d8370cb7a73', description='springTest'}-ac-etoaa3e-shard-00-01.fosgxpw.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-etoaa3e-shard-00-01.fosgxpw.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=286722500, minRoundTripTimeNanos=0, setName='atlas-y6vsmj-shard-0', canonicalAddress=ac-etoaa3e-shard-00-01.fosgxpw.mongodb.net:27017, hosts=[ac-etoaa3e-shard-00-01.fosgxpw.mongodb.net:27017, ac-etoaa3e-shard-00-00.fosgxpw.mongodb.net:27017, ac-etoaa3e-shard-00-02.fosgxpw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-etoaa3e-shard-00-01.fosgxpw.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000dc, setVersion=16, topologyVersion=TopologyVersion{processId=687121b151c2baa384bc6201, counter=6}, lastWriteDate=Wed Jul 16 12:47:46 IST 2025, lastUpdateTimeNanos=16512955133100}
